test_type,test_name,extra_param,n,d,h_label,mean_result
C2ST,LinearMMD_test,LL,200,10,Alternative,0.038
C2ST,CVLinearMMD_test,LL,200,10,Alternative,0.082
C2ST,CLF_test,LL,200,10,Alternative,0.084
C2ST,CVCLF_test,LL,200,10,Alternative,0.13
C2ST,CP_test,LL,200,10,Alternative,0.064
C2ST,debiased_test,LL,200,10,Alternative,0.068
CIT,RCIT_test,TRUE,200,10,Alternative,0.97
CIT,RCoT_test,TRUE,200,10,Alternative,0.992
CIT,PCM_test,TRUE,200,10,Alternative,0.974
CIT,GCM_test,TRUE,200,10,Alternative,0.242
CIT,WGSC_test,TRUE,200,10,Alternative,0.16
C2ST,LinearMMD_test,LL,200,10,Null,0.022
C2ST,CVLinearMMD_test,LL,200,10,Null,0.05
C2ST,CLF_test,LL,200,10,Null,0.072
C2ST,CVCLF_test,LL,200,10,Null,0.106
C2ST,CP_test,LL,200,10,Null,0.064
C2ST,debiased_test,LL,200,10,Null,0.064
CIT,RCIT_test,TRUE,200,10,Null,0.3
CIT,RCoT_test,TRUE,200,10,Null,0.248
CIT,PCM_test,TRUE,200,10,Null,0.136
CIT,GCM_test,TRUE,200,10,Null,0.218
CIT,WGSC_test,TRUE,200,10,Null,0.03
C2ST,LinearMMD_test,LL,500,10,Alternative,0.058
C2ST,CVLinearMMD_test,LL,500,10,Alternative,0.104
C2ST,CLF_test,LL,500,10,Alternative,0.08
C2ST,CVCLF_test,LL,500,10,Alternative,0.158
C2ST,CP_test,LL,500,10,Alternative,0.056
C2ST,debiased_test,LL,500,10,Alternative,0.064
CIT,RCIT_test,TRUE,500,10,Alternative,1
CIT,RCoT_test,TRUE,500,10,Alternative,1
CIT,PCM_test,TRUE,500,10,Alternative,1
CIT,GCM_test,TRUE,500,10,Alternative,0.562
CIT,WGSC_test,TRUE,500,10,Alternative,0.292
C2ST,LinearMMD_test,LL,500,10,Null,0.036
C2ST,CVLinearMMD_test,LL,500,10,Null,0.064
C2ST,CLF_test,LL,500,10,Null,0.054
C2ST,CVCLF_test,LL,500,10,Null,0.092
C2ST,CP_test,LL,500,10,Null,0.038
C2ST,debiased_test,LL,500,10,Null,0.048
CIT,RCIT_test,TRUE,500,10,Null,0.39
CIT,RCoT_test,TRUE,500,10,Null,0.462
CIT,PCM_test,TRUE,500,10,Null,0.192
CIT,GCM_test,TRUE,500,10,Null,0.504
CIT,WGSC_test,TRUE,500,10,Null,0.006
C2ST,LinearMMD_test,LL,1000,10,Alternative,0.084
C2ST,CVLinearMMD_test,LL,1000,10,Alternative,0.138
C2ST,CLF_test,LL,1000,10,Alternative,0.1
C2ST,CVCLF_test,LL,1000,10,Alternative,0.18
C2ST,CP_test,LL,1000,10,Alternative,0.094
C2ST,debiased_test,LL,1000,10,Alternative,0.1
CIT,RCIT_test,TRUE,1000,10,Alternative,1
CIT,RCoT_test,TRUE,1000,10,Alternative,1
CIT,PCM_test,TRUE,1000,10,Alternative,1
CIT,GCM_test,TRUE,1000,10,Alternative,0.876
CIT,WGSC_test,TRUE,1000,10,Alternative,0.4
C2ST,LinearMMD_test,LL,1000,10,Null,0.04
C2ST,CVLinearMMD_test,LL,1000,10,Null,0.072
C2ST,CLF_test,LL,1000,10,Null,0.078
C2ST,CVCLF_test,LL,1000,10,Null,0.114
C2ST,CP_test,LL,1000,10,Null,0.046
C2ST,debiased_test,LL,1000,10,Null,0.064
CIT,RCIT_test,TRUE,1000,10,Null,0.602
CIT,RCoT_test,TRUE,1000,10,Null,0.744
CIT,PCM_test,TRUE,1000,10,Null,0.3
CIT,GCM_test,TRUE,1000,10,Null,0.802
CIT,WGSC_test,TRUE,1000,10,Null,0.004
C2ST,LinearMMD_test,LL,2000,10,Alternative,0.11
C2ST,CVLinearMMD_test,LL,2000,10,Alternative,0.132
C2ST,CLF_test,LL,2000,10,Alternative,0.168
C2ST,CVCLF_test,LL,2000,10,Alternative,0.2
C2ST,CP_test,LL,2000,10,Alternative,0.128
C2ST,debiased_test,LL,2000,10,Alternative,0.108
CIT,RCIT_test,TRUE,2000,10,Alternative,1
CIT,RCoT_test,TRUE,2000,10,Alternative,1
CIT,PCM_test,TRUE,2000,10,Alternative,1
CIT,GCM_test,TRUE,2000,10,Alternative,0.99
CIT,WGSC_test,TRUE,2000,10,Alternative,0.386
C2ST,LinearMMD_test,LL,2000,10,Null,0.038
C2ST,CVLinearMMD_test,LL,2000,10,Null,0.064
C2ST,CLF_test,LL,2000,10,Null,0.126
C2ST,CVCLF_test,LL,2000,10,Null,0.114
C2ST,CP_test,LL,2000,10,Null,0.054
C2ST,debiased_test,LL,2000,10,Null,
CIT,RCIT_test,TRUE,2000,10,Null,
CIT,RCoT_test,TRUE,2000,10,Null,
CIT,PCM_test,TRUE,2000,10,Null,0.408
CIT,GCM_test,TRUE,2000,10,Null,0.964
CIT,WGSC_test,TRUE,2000,10,Null,0
